"species_1","cluster_1","cluster_1_accession","species_2","cluster_2","cluster_2_accession","dist","similarity"
"marmoset","Inh LAMP5 TOX2","CS201912132_3","mouse","Pvalb Reln","CS202002013_54",28.107069779655,0.18117252909982
"marmoset","Inh SST NPY","CS201912132_1","mouse","Pvalb Reln","CS202002013_54",29.6011558926016,0.13471689215761
"marmoset","Inh PVALB C8H7orf62","CS201912132_46","mouse","Pvalb Vipr2_1","CS202002013_56",11.271931562792,0.704627678101975
"marmoset","Inh PVALB GSTK1","CS201912132_45","mouse","Pvalb Vipr2_1","CS202002013_56",11.4189194139514,0.700057383130884
"marmoset","Inh PVALB OTOGL","CS201912132_41","mouse","Pvalb Vipr2_1","CS202002013_56",11.8968458423173,0.685197211117461
"marmoset","Inh PVALB OSBP2","CS201912132_43","mouse","Pvalb Vipr2_1","CS202002013_56",11.9471842448403,0.683632038580486
"marmoset","Inh PVALB ADAMTS3","CS201912132_48","mouse","Pvalb Vipr2_1","CS202002013_56",12.0792149615854,0.679526805964253
"marmoset","Inh PVALB SST EYS","CS201912132_49","mouse","Pvalb Vipr2_1","CS202002013_56",12.2204766992862,0.67513455310574
"marmoset","Inh PVALB LOC103790362","CS201912132_42","mouse","Pvalb Vipr2_1","CS202002013_56",12.3626825035783,0.670712946373689
"marmoset","Inh PVALB SST LRRC6","CS201912132_47","mouse","Pvalb Vipr2_1","CS202002013_56",12.3865108187491,0.669972052292064
"marmoset","Inh PVALB LOC103789439","CS201912132_44","mouse","Pvalb Vipr2_1","CS202002013_56",12.8441756664021,0.655741873844151
"marmoset","Inh PVALB FAM19A4","CS201912132_52","mouse","Pvalb Vipr2_1","CS202002013_56",13.2047608331968,0.644530195045849
"marmoset","Inh PVALB PCDH19","CS201912132_50","mouse","Pvalb Vipr2_1","CS202002013_56",13.8033007469291,0.625919786524661
"marmoset","Inh PVALB KLHL29","CS201912132_51","mouse","Pvalb Vipr2_1","CS202002013_56",14.3892379811461,0.607701233264685
"marmoset","Inh SST LOC103788660","CS201912132_32","mouse","Pvalb Vipr2_1","CS202002013_56",16.8094888444042,0.532448344934943
"marmoset","Inh SST KIRREL3","CS201912132_31","mouse","Pvalb Vipr2_1","CS202002013_56",16.9395544634182,0.528404213125391
"marmoset","Inh SST VAPA","CS201912132_39","mouse","Pvalb Vipr2_1","CS202002013_56",18.404538483031,0.482853447910759
"marmoset","Inh SST TMEFF2","CS201912132_35","mouse","Pvalb Vipr2_1","CS202002013_56",18.5062261381251,0.47969167246447
"marmoset","Inh SST P4HA1","CS201912132_36","mouse","Pvalb Vipr2_1","CS202002013_56",18.808192026052,0.47030264358795
"marmoset","Inh PAX6 MEIS2","CS201912132_26","mouse","Pvalb Vipr2_1","CS202002013_56",18.8544293353862,0.468864986389344
"marmoset","Inh SST ABI3BP","CS201912132_34","mouse","Pvalb Vipr2_1","CS202002013_56",18.8968111191673,0.467547209091746
"marmoset","Inh VIP LOC108589153","CS201912132_19","mouse","Pvalb Vipr2_1","CS202002013_56",19.0945858596437,0.461397796778561
"marmoset","Inh SST LOC108589054","CS201912132_27","mouse","Pvalb Vipr2_1","CS202002013_56",19.2252505866696,0.457335036896605
"marmoset","Inh VIP FIGN","CS201912132_20","mouse","Pvalb Vipr2_1","CS202002013_56",19.2803479922022,0.455621892623526
"marmoset","Inh SNCG LOC108587895","CS201912132_18","mouse","Pvalb Vipr2_1","CS202002013_56",19.7132484313187,0.442161714219179
"marmoset","Inh VIP CIT","CS201912132_24","mouse","Pvalb Vipr2_1","CS202002013_56",19.8223533122132,0.438769314884537
"marmoset","Inh PAX6 ANKRD6","CS201912132_9","mouse","Pvalb Vipr2_1","CS202002013_56",19.8691884573375,0.437313069170734
"marmoset","Inh VIP GPR149","CS201912132_21","mouse","Pvalb Vipr2_1","CS202002013_56",19.9139202421175,0.435922223264658
"marmoset","Inh SST MPP5","CS201912132_30","mouse","Pvalb Vipr2_1","CS202002013_56",19.9157451331573,0.435865481906266
"marmoset","Inh VIP LOC100397259","CS201912132_16","mouse","Pvalb Vipr2_1","CS202002013_56",19.951007437585,0.43476907066327
"marmoset","Inh GAD1 LOC108589948","CS201912132_14","mouse","Pvalb Vipr2_1","CS202002013_56",20.1725291238436,0.42788129428781
"marmoset","Inh VIP LOC108588071","CS201912132_22","mouse","Pvalb Vipr2_1","CS202002013_56",20.1913604450233,0.427295771798654
"marmoset","Inh GAD1 NPSR1","CS201912132_17","mouse","Pvalb Vipr2_1","CS202002013_56",20.2867491867434,0.424329848539396
"marmoset","Inh SST PCSK5","CS201912132_40","mouse","Pvalb Vipr2_1","CS202002013_56",20.3518712965004,0.422305006020904
"marmoset","Inh SST AIM1","CS201912132_38","mouse","Pvalb Vipr2_1","CS202002013_56",20.5427763107447,0.416369194185608
"marmoset","Inh SST CBLN4","CS201912132_33","mouse","Pvalb Vipr2_1","CS202002013_56",20.6081239377986,0.414337339655172
